Format Version,1.23,Take Name,linear_t2_may_15,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 10.30.14.140 AM,Total Frames in Take,2945,Total Exported Frames,2945,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,noark:Marker6,noark:Marker6,noark:Marker6,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"C4FF0","C4FF0","C4FF0","C5020","C5020","C5020","C5210","C5210","C5210","C5230","C5230","C5230","C5240","C5240","C5240","C53F0","C53F0","C53F0","C4520","C4520","C4520","C3890","C3890","C3890","C4B40","C4B40","C4B40","C3550","C3550","C3550","C51F0","C51F0","C51F0","C3660","C3660","C3660"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.210000,0.286368,0.092138,-0.190018,0.332132,0.096132,-0.214046,0.384226,0.070384,-0.271325,0.380701,0.166141,-0.263341,0.391513,0.155510,-0.166097,0.395178,0.061088,-0.176545,0.171338,0.067576,-0.476252,0.914248,0.065226,-0.523502,0.874268,0.105239,0.040379,0.975447,0.073041,0.460586,0.233613,0.072030,0.505569,0.867364,0.106809,-0.090569
22,0.220000,0.286302,0.092273,-0.189982,0.332145,0.096258,-0.214052,0.384342,0.070612,-0.271089,0.380645,0.166202,-0.263330,0.391481,0.155713,-0.166084,0.395162,0.061169,-0.176492,0.171331,0.067585,-0.476249,0.914253,0.065240,-0.523499,0.874274,0.105238,0.040382,0.975447,0.073043,0.460589,0.233615,0.072045,0.505556,0.867368,0.106794,-0.090588
23,0.230000,0.286283,0.092369,-0.189934,0.332076,0.096434,-0.213975,0.384300,0.070736,-0.271024,0.380572,0.165860,-0.263069,0.391406,0.155849,-0.166079,0.395123,0.061457,-0.176226,0.171328,0.067585,-0.476248,0.914253,0.065221,-0.523510,0.874273,0.105240,0.040378,0.975439,0.073024,0.460582,0.233606,0.072045,0.505564,0.867364,0.106820,-0.090573
24,0.240000,0.286263,0.092338,-0.189896,0.332123,0.096379,-0.213941,0.384307,0.070653,-0.270904,0.380565,0.166252,-0.263219,0.391387,0.155866,-0.166047,0.395102,0.061430,-0.176222,0.171330,0.067589,-0.476246,0.914246,0.065212,-0.523526,0.874259,0.105253,0.040383,0.975440,0.073056,0.460587,0.233615,0.072050,0.505560,0.867366,0.106808,-0.090570
25,0.250000,0.286208,0.092287,-0.189906,0.332070,0.096255,-0.213887,0.384208,0.070678,-0.270995,0.380575,0.166233,-0.263214,0.391428,0.155684,-0.165957,0.395091,0.061408,-0.176228,0.171333,0.067584,-0.476242,0.914251,0.065235,-0.523495,0.874266,0.105247,0.040376,0.975436,0.073073,0.460589,0.233611,0.072048,0.505558,0.867376,0.106794,-0.090579
26,0.260000,0.286240,0.092290,-0.189893,0.332062,0.096234,-0.213899,0.384196,0.070647,-0.271022,0.380570,0.166189,-0.263210,0.391385,0.155533,-0.165962,0.394960,0.060990,-0.176470,0.171328,0.067573,-0.476255,0.914251,0.065233,-0.523498,0.874258,0.105242,0.040371,0.975451,0.073054,0.460577,0.233614,0.072037,0.505565,0.867362,0.106814,-0.090574
27,0.270000,0.286171,0.092175,-0.189950,0.332047,0.096168,-0.213998,0.384167,0.070568,-0.271064,0.380623,0.166134,-0.263212,0.391408,0.155464,-0.165991,0.394914,0.060798,-0.176521,0.171331,0.067595,-0.476253,0.914257,0.065231,-0.523519,0.874259,0.105248,0.040374,0.975461,0.073054,0.460567,0.233609,0.072058,0.505562,0.867366,0.106802,-0.090570
28,0.280000,0.286205,0.092095,-0.189957,0.332042,0.096050,-0.213987,0.384128,0.070470,-0.271178,0.380601,0.166133,-0.263207,0.391417,0.155412,-0.166002,0.395050,0.061125,-0.176292,0.171335,0.067584,-0.476252,0.914250,0.065236,-0.523516,0.874272,0.105237,0.040372,0.975459,0.073039,0.460577,0.233607,0.072062,0.505556,0.867368,0.106811,-0.090584
29,0.290000,0.286180,0.092104,-0.189991,0.331982,0.096064,-0.214050,0.384132,0.070463,-0.271191,0.380623,0.166119,-0.263278,0.391421,0.155405,-0.166017,0.394881,0.060680,-0.176707,0.171334,0.067578,-0.476243,0.914256,0.065237,-0.523512,0.874270,0.105242,0.040380,0.975440,0.073057,0.460573,0.233610,0.072043,0.505567,0.867370,0.106811,-0.090573
30,0.300000,0.286237,0.092075,-0.189958,0.332039,0.096021,-0.214033,0.384135,0.070451,-0.271217,0.380661,0.166102,-0.263308,0.391433,0.155395,-0.166019,0.394930,0.060723,-0.176541,0.171335,0.067587,-0.476250,0.914254,0.065219,-0.523516,0.874254,0.105252,0.040383,0.975460,0.073064,0.460576,0.233608,0.072045,0.505566,0.867367,0.106816,-0.090574
