timestamp,t_rel,step,target_mag,target_angle,Fmg,Fml,Fdg,Fdl
2026-06-15 12:03:34.972281,0.874355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.982281,0.884355,0,5.0,-129.434,5.0,4.467197891296064,-129.434254,-135.7709114082038
2026-06-15 12:03:34.992281,0.894355,0,5.0,-129.434,5.0,4.467197891296064,-129.434254,-135.7709114082038
2026-06-15 12:03:35.002281,0.904355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.012281,0.914355,0,5.0,-129.434,5.0,4.558362973700098,-129.434254,-133.7644873720099
2026-06-15 12:03:35.022281,0.924355,0,5.0,-129.434,5.0,4.905869545758428,-129.434254,-136.93281313943191
2026-06-15 12:03:35.032281,0.934355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.042281,0.944355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.052281,0.954355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.062281,0.964355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.072281,0.974355,0,5.0,-129.434,5.0,4.136247816560318,-129.434254,-140.3558250428552
2026-06-15 12:03:35.082281,0.984355,0,5.0,-129.434,5.0,3.8466241043283658,-129.434254,-139.2484545293613
2026-06-15 12:03:35.092281,0.994355,0,5.0,-129.434,5.0,4.205890393246119,-129.434254,-134.82661047697604
2026-06-15 12:03:35.102281,1.004355,0,5.0,-129.434,5.0,4.583905867270837,-129.434254,-136.28166984417496
2026-06-15 12:03:35.112281,1.014355,0,5.0,-129.434,5.0,4.583905867270837,-129.434254,-136.28166984417496
2026-06-15 12:03:35.122281,1.024355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.132281,1.034355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.142281,1.044355,0,5.0,-129.434,5.0,4.693897527641608,-129.434254,-135.4143039294016
2026-06-15 12:03:35.152281,1.054355,0,5.0,-129.434,5.0,4.693897527641608,-129.434254,-135.4143039294016
2026-06-15 12:03:35.162281,1.064355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.172281,1.074355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.182281,1.084355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.192281,1.094355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.202281,1.104355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.212281,1.114355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.222281,1.124355,0,5.0,-129.434,5.0,5.970081573982051,-129.434254,-134.13133169276824
2026-06-15 12:03:35.232281,1.134355,0,5.0,-129.434,5.0,5.970081573982051,-129.434254,-134.13133169276824
2026-06-15 12:03:35.242281,1.144355,0,5.0,-129.434,5.0,4.927207424089227,-129.434254,-137.59098782569885
2026-06-15 12:03:35.252281,1.154355,0,5.0,-129.434,5.0,4.036030847255754,-129.434254,-139.6527698983222
2026-06-15 12:03:35.262281,1.164355,0,5.0,-129.434,5.0,4.036030847255754,-129.434254,-139.6527698983222
2026-06-15 12:03:35.272281,1.174355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.282281,1.184355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.292281,1.194355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.302281,1.204355,0,5.0,-129.434,5.0,3.7905192256470617,-129.434254,-137.8442577735909
2026-06-15 12:03:35.312281,1.214355,0,5.0,-129.434,5.0,4.220730387030188,-129.434254,-135.12478538381484
2026-06-15 12:03:35.322281,1.224355,0,5.0,-129.434,5.0,4.546962172703881,-129.434254,-136.1851379459358
2026-06-15 12:03:35.332281,1.234355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.342281,1.244355,0,5.0,-129.434,5.0,4.568621345657791,-129.434254,-135.07981143508627
2026-06-15 12:03:35.352281,1.254355,0,5.0,-129.434,5.0,4.511678401659409,-129.434254,-134.2995535797564
2026-06-15 12:03:35.362281,1.264355,0,5.0,-129.434,5.0,5.763202321626407,-129.434254,-133.93843751271183
2026-06-15 12:03:35.372281,1.274355,0,5.0,-129.434,5.0,5.763202321626407,-129.434254,-133.93843751271183
2026-06-15 12:03:35.382281,1.284355,0,5.0,-129.434,5.0,4.819145671174509,-129.434254,-137.46399075310296
2026-06-15 12:03:35.392281,1.294355,0,5.0,-129.434,5.0,4.158065896543729,-129.434254,-134.33742528378124
2026-06-15 12:03:35.402281,1.304355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.412281,1.314355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.422281,1.324355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.432281,1.334355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.442281,1.344355,0,5.0,-129.434,5.0,4.473925457581966,-129.434254,-135.29883729711005
2026-06-15 12:03:35.452281,1.354355,0,5.0,-129.434,5.0,4.768931221982553,-129.434254,-137.26887905857407
2026-06-15 12:03:35.462281,1.364355,0,5.0,-129.434,5.0,4.008582417763168,-129.434254,-140.27312179676971
2026-06-15 12:03:35.472281,1.374355,0,5.0,-129.434,5.0,3.802470381212719,-129.434254,-139.4902294706831
2026-06-15 12:03:35.482281,1.384355,0,5.0,-129.434,5.0,4.171023135874458,-129.434254,-134.10634380150879
2026-06-15 12:03:35.492281,1.394355,0,5.0,-129.434,5.0,3.9873625368155325,-129.434254,-139.94421451951726
2026-06-15 12:03:35.502281,1.404355,0,5.0,-129.434,5.0,3.876534663846049,-129.434254,-138.67086349183384
2026-06-15 12:03:35.512281,1.414355,0,5.0,-129.434,5.0,4.16421721335475,-129.434254,-134.67893684264678
2026-06-15 12:03:35.522281,1.424355,0,5.0,-129.434,5.0,4.730871589887005,-129.434254,-137.51856796114834
2026-06-15 12:03:35.532281,1.434355,0,5.0,-129.434,5.0,4.025526549409406,-129.434254,-139.91742856949529
2026-06-15 12:03:35.542281,1.444355,0,5.0,-129.434,5.0,4.142657359714897,-129.434254,-134.178471210046
2026-06-15 12:03:35.552281,1.454355,0,5.0,-129.434,5.0,4.745420740039812,-129.434254,-137.22031688167164
2026-06-15 12:03:35.562281,1.464355,0,5.0,-129.434,5.0,3.9835367451549883,-129.434254,-139.8979343667024
2026-06-15 12:03:35.572281,1.474355,0,5.0,-129.434,5.0,3.8110519545133466,-129.434254,-139.22422250389383
2026-06-15 12:03:35.582281,1.484355,0,5.0,-129.434,5.0,4.3790466999108375,-129.434254,-135.98074280624604
2026-06-15 12:03:35.592281,1.494355,0,5.0,-129.434,5.0,5.647759644319153,-129.434254,-134.66284330106078
2026-06-15 12:03:35.602281,1.504355,0,5.0,-129.434,5.0,3.791241749084329,-129.434254,-139.08561677997488
2026-06-15 12:03:35.612281,1.514355,0,5.0,-129.434,5.0,4.350096665592616,-129.434254,-136.01521482256737
2026-06-15 12:03:35.622281,1.524355,0,5.0,-129.434,5.0,4.322803372812601,-129.434254,-135.6279508462606
2026-06-15 12:03:35.632281,1.534355,0,5.0,-129.434,5.0,4.322803372812601,-129.434254,-135.6279508462606
2026-06-15 12:03:35.642281,1.544355,0,5.0,-129.434,5.0,4.328964425818258,-129.434254,-136.07633385773946
2026-06-15 12:03:35.652281,1.554355,0,5.0,-129.434,5.0,4.736834913737231,-129.434254,-137.40410343738094
2026-06-15 12:03:35.662281,1.564355,0,5.0,-129.434,5.0,3.94965973217947,-129.434254,-139.29171055964173
2026-06-15 12:03:35.672281,1.574355,0,5.0,-129.434,5.0,3.7606023453696884,-129.434254,-139.48629077072746
2026-06-15 12:03:35.682281,1.584355,0,5.0,-129.434,5.0,4.348869393302126,-129.434254,-136.14594912168997
2026-06-15 12:03:35.692281,1.594355,0,5.0,-129.434,5.0,4.310254864854282,-129.434254,-135.8177841374361
2026-06-15 12:03:35.702281,1.604355,0,5.0,-129.434,5.0,4.727883353044997,-129.434254,-137.66598679788547
2026-06-15 12:03:35.712281,1.614355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.722281,1.624355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.732281,1.634355,0,5.0,-129.434,5.0,3.9452458731997933,-129.434254,-139.65704104809436
2026-06-15 12:03:35.742281,1.644355,0,5.0,-129.434,5.0,3.94334096927973,-129.434254,-134.07529188900716
2026-06-15 12:03:35.752281,1.654355,0,5.0,-129.434,5.0,4.3107604897512,-129.434254,-135.60150839431705
2026-06-15 12:03:35.762281,1.664355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.772281,1.674355,0,5.0,-129.434,5.0,4.317195501711731,-129.434254,-135.68507658962187
2026-06-15 12:03:35.782281,1.684355,0,5.0,-129.434,5.0,4.317195501711731,-129.434254,-135.68507658962187
2026-06-15 12:03:35.792281,1.694355,0,5.0,-129.434,5.0,3.9238450530060436,-129.434254,-139.506404061824
2026-06-15 12:03:35.802281,1.704355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:35.812281,1.714355,0,5.0,-129.434,5.0,3.6904834371664643,-129.434254,-139.0652808228287
2026-06-15 12:03:35.822281,1.724355,0,5.0,-129.434,5.0,3.9788904232210265,-129.434254,-135.03054688506367
2026-06-15 12:03:35.832281,1.734355,0,5.0,-129.434,5.0,4.330138565912181,-129.434254,-136.36615459964366
2026-06-15 12:03:35.842281,1.744355,0,5.0,-129.434,5.0,4.297830731892544,-129.434254,-136.06527514145262
2026-06-15 12:03:35.852281,1.754355,0,5.0,-129.434,5.0,5.553350790288688,-129.434254,-134.2777305862126
2026-06-15 12:03:35.862281,1.764355,0,5.0,-129.434,5.0,4.724185538270063,-129.434254,-137.80544650691687
2026-06-15 12:03:35.872281,1.774355,0,5.0,-129.434,5.0,3.70846936080103,-129.434254,-139.12219964491592
2026-06-15 12:03:35.882281,1.784355,0,5.0,-129.434,5.0,3.986076893387783,-129.434254,-134.56294647265727
