timestamp,pos_x,pos_z,Fxl,Fyl,Fml,Fdl,Fxg,Fzg,Fmg,Fdg,mag_error,dir_error,me_percent,de_percent,step,target_mag,target_angle
2026-06-15 11:20:36.715591,0.001562,-0.174373,15.016,-16.712,22.467113744315267,-48.059797237829315,15.162774,-18.603502,24.0,-50.818263,1.5328862556847334,2.7584657621706867,6.387026065353056,0.7662404894918574,27,24.0,-50.818
2026-06-15 11:20:36.725591,0.001562,-0.174373,15.03,-16.708,22.47349914899769,-48.02643161216073,15.162774,-18.603502,24.0,-50.818263,1.5265008510023108,2.7918313878392738,6.360420212509628,0.7755087188442428,27,24.0,-50.818
2026-06-15 11:20:36.735591,0.001562,-0.174373,,,,,15.162774,-18.603502,24.0,-50.818263,,,,,27,24.0,-50.818
2026-06-15 11:20:36.745591,0.001562,-0.174373,14.967,-16.688,22.416521429517115,-48.1119587672796,15.162774,-18.603502,24.0,-50.818263,1.5834785704828853,2.7063042327203988,6.597827377012022,0.7517511757556663,27,24.0,-50.818
2026-06-15 11:20:36.755591,0.001562,-0.174373,14.304,-17.676,22.738632148834284,-51.01907807129623,15.162774,-18.603502,24.0,-50.818263,1.2613678511657156,0.20081507129622622,5.255699379857148,0.05578196424895173,27,24.0,-50.818
2026-06-15 11:20:36.765591,0.001562,-0.174373,15.268,-16.01,22.123108371112775,-46.358958245692264,15.162774,-18.603502,24.0,-50.818263,1.8768916288872255,4.4593047543077375,7.820381787030106,1.2386957650854826,27,24.0,-50.818
2026-06-15 11:20:36.775591,0.001562,-0.174373,14.987,-16.699,22.43806520179492,-48.09269364860958,15.162774,-18.603502,24.0,-50.818263,1.5619347982050797,2.725569351390419,6.508061659187832,0.7571025976084498,27,24.0,-50.818
2026-06-15 11:20:36.785591,0.001562,-0.174373,15.048,-16.227,22.13047295021053,-47.15890492207968,15.162774,-18.603502,24.0,-50.818263,1.8695270497894683,3.6593580779203236,7.789696040789451,1.0164883549778676,27,24.0,-50.818
2026-06-15 11:20:36.795591,0.001562,-0.174373,,,,,15.162774,-18.603502,24.0,-50.818263,,,,,27,24.0,-50.818
2026-06-15 11:20:36.805591,0.001562,-0.174373,15.121,-16.241,22.19041959945778,-47.04527816102023,15.162774,-18.603502,24.0,-50.818263,1.8095804005422202,3.7729848389797738,7.539918335592584,1.0480513441610484,27,24.0,-50.818
2026-06-15 11:20:36.815591,0.001562,-0.174373,,,,,15.162774,-18.603502,24.0,-50.818263,,,,,27,24.0,-50.818
2026-06-15 11:20:36.825591,0.001562,-0.174373,15.353,-16.199,22.318651616977224,-46.53589688199249,15.162774,-18.603502,24.0,-50.818263,1.681348383022776,4.282366118007509,7.0056182625949,1.189546143890975,27,24.0,-50.818
2026-06-15 11:20:36.835591,0.001562,-0.174373,14.968,-16.987,22.640653546220786,-48.61529066357135,15.162774,-18.603502,24.0,-50.818263,1.3593464537792137,2.202972336428651,5.66394355741339,0.6119367601190697,27,24.0,-50.818
2026-06-15 11:20:36.845591,0.001562,-0.174373,,,,,15.162774,-18.603502,24.0,-50.818263,,,,,27,24.0,-50.818
2026-06-15 11:20:36.855591,0.001562,-0.174373,,,,,15.162774,-18.603502,24.0,-50.818263,,,,,27,24.0,-50.818
2026-06-15 11:20:36.865591,0.001562,-0.174373,15.115,-16.682,22.511160543161697,-47.821332474357966,15.162774,-18.603502,24.0,-50.818263,1.4888394568383028,2.9969305256420355,6.203497736826261,0.8324807015672321,27,24.0,-50.818
2026-06-15 11:20:36.875591,0.001562,-0.174373,14.781,-16.755,22.34296278473381,-48.5817636463593,15.162774,-18.603502,24.0,-50.818263,1.6570372152661896,2.2364993536407027,6.90432173027579,0.6212498204557507,27,24.0,-50.818
2026-06-15 11:20:36.885591,0.001562,-0.174373,,,,,15.162774,-18.603502,24.0,-50.818263,,,,,27,24.0,-50.818
2026-06-15 11:20:36.895591,0.001562,-0.174373,15.093,-16.715,22.520876403905778,-47.91918155532741,15.162774,-18.603502,24.0,-50.818263,1.4791235960942224,2.899081444672589,6.163014983725926,0.8053004012979416,27,24.0,-50.818
